Tên,Giá máy mới,Giá máy cũ,CPU,RAM,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Tốc độ Bus RAM,Số nhân,Số luồng,Kích thước màn hình,Ổ cứng,Công nghệ màn hình,Độ phân giải,Công nghệ âm thanh,Card đồ họa,Cổng giao tiếp,WiFi,Bluetooth,Camera,Hệ điều hành,Kích thước,Trọng lượng,Thông tin Pin,Khe đọc thẻ nhớ,Nhà bán,Là máy cũ
Laptop Dell Vostro 3405 R5 3500U/4GB/256GB/Win10 (V4R53500U001W),16090000,0,AMD Ryzen 5 - 3500U,4,2.1,3.7,DDR4 2 khe (1 khe 4GB + 1 khe rời),2400,4,8,14,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)","220 nits
Chống chói Anti Glare
LED Backlit
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - AMD Radeon Vega 8 Graphics,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm,1.7,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),16290000,0,Intel Core i3 Tiger Lake - 1115G4,8,3,4.1,DDR4 (On board),3200,2,4,14,"Intel Optane 32GB (H10) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
60Hz
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel UHD Graphics,"3 x USB 2.0
HDMI
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm,1.4,"3-cell Li-ion, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),15990000,0,Intel Core i3 Tiger Lake - 1115G4,8,3,4.1,DDR4 (On board),3200,2,4,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel UHD Graphics,"3 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm,1.4,"3-cell Li-ion, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Dell Vostro 3400 i3 1115G4/8GB/256GB/OfficeH&S 2019/Win10 (70253899),15690000,0,Intel Core i3 Tiger Lake - 1115G4,8,3,4.1,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666,2,4,14,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel UHD Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm,1.64,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 15 3511 i3 1115G4/4GB/256GB/OfficeH&S 2019/Win10 (P112F001ABL),15290000,0,Intel Core i3 Tiger Lake - 1115G4,4,3,4.1,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666,2,4,15.6,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek ALC3204,Card tích hợp - Intel UHD Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm,1.7,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 3505 R3 3250U/8GB/256GB/Office H&S2019/Win10 (Y1N1T3),14990000,0,AMD Ryzen 3 - 3250U,8,2.6,3.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400,2,4,15.6,256 GB SSD NVMe PCIe,Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - AMD Radeon Graphics,"2 x USB 3.1
HDMI
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 363.9 mm - Rộng 249 mm - Dày 19.9 mm,1.8,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 3501 i3 1115G4/4GB/256GB/Win10 (P90F005N3501C),14690000,0,Intel Core i3 Tiger Lake - 1115G4,4,3,4.1,DDR4 (2 khe),2666,2,4,15.6,256 GB SSD NVMe PCIe,"Chống chói Anti Glare
LED Backlight
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel UHD Graphics,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.96,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop MSI Modern 14 B11MOL i3 1115G4/8GB/256GB/Win10 (813VN),14390000,0,Intel Core i3 Tiger Lake - 1115G4,8,3,4.1,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,2,4,14,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","250 nits
Chống chói Anti Glare
Công nghệ IPS
LED Backlit",Full HD (1920 x 1080),Hi-Res Audio Nahimic Audio,Card tích hợp - Intel UHD Graphics,2 x USB 3.2 HDMI,Wi-Fi 6E (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm,1.3,"3-cell Li-ion, 39 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook X515EA i3 1115G4/4GB/256GB/Win10 (BQ994T),13890000,0,Intel Core i3 Tiger Lake - 1115G4,4,3,4.1,DDR4 (On board +1 khe),3200,2,4,15.6,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),SonicMaster audio,Card tích hợp - Intel UHD Graphics,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.1,VGA Webcam,Windows 10 Home SL,Dài 360.2 mm - Rộng 234.9 mm - Dày 19.9 mm,1.8,"2-cell Li-ion, 37 Wh",,Điện máy xanh,0
Laptop HP 340s G7 i3 1005G1/4GB/512GB/Win10 (224L1PA),13890000,0,Intel Core i3 Ice Lake - 1005G1,4,1.2,3.4,DDR4 (2 khe),2666,,,14,512 GB SSD NVMe PCIe,"60Hz
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Realtek High Definition Audio Loa kép (2 kênh),Card tích hợp - Intel UHD Graphics,"2 x USB 3.1
HDMI
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm,1.346,3-cell Li-ion,SD,Điện máy xanh,0
Laptop Asus VivoBook X415EA i3 1115G4/4GB/512GB/Win10 (EB638T),13790000,0,Intel Core i3 Tiger Lake - 1115G4,4,3,4.1,DDR4 (On board 4GB +1 khe rời),3200,2,4,14,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,"250 nits
60Hz
Chống chói Anti Glare
LED Backlit",Full HD (1920 x 1080),SonicMaster audio,Card tích hợp - Intel UHD Graphics,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.1,VGA Webcam,Windows 10 Home SL,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm,1.55,"2-cell Li-ion, 37 Wh",,Điện máy xanh,0
Laptop Lenovo Ideapad 3 14IML05 i3 10110U/8GB/256GB/Win10 (81WA00HPVN),13490000,0,Intel Core i3 Comet Lake - 10110U,8,2.1,4.1,DDR4 (On board 4GB +1 khe 4GB),2666,2,4,14,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"250 nits
Tấm nền IPS
Chống chói Anti Glare",Full HD (1920 x 1080),High Definition (HD) Audio Dolby Audio,Card tích hợp - Intel UHD Graphics,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 327.1 mm - Rộng 241 mm - Dày 19.9 mm,1.5,"2-cell Li-ion, 35 Wh",SD,Điện máy xanh,0
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (342G5PA),12590000,0,Intel Core i3 Ice Lake - 1005G1,4,1.2,3.4,DDR4 (2 khe),2666,2,4,14,256 GB SSD NVMe PCIe,"250 nits
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Stereo speakers,Card tích hợp - Intel UHD Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm,1.47,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop HP 15s du1105TU i3 10110U/4GB/256GB/Win11 (2Z6L3PA),12490000,0,Intel Core i3 Comet Lake - 10110U,4,2.1,4.1,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666,2,4,15.6,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"220 nits
LED Backlit
SVA",HD (1366 x 768),Stereo speakers,Card tích hợp - Intel UHD Graphics,"2x SuperSpeed USB A
HDMI
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 11 Home SL,Dài 358.5 mm - Rộng 242 mm - Dày 19.9 mm,1.78,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (519A4PA),11890000,0,Intel Core i3 Ice Lake - 1005G1,4,1.2,3.4,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200,2,4,14,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",250 nits Chống chói Anti Glare,HD (1366 x 768),Stereo speakers,Card tích hợp - Intel UHD Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm,1.47,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop HP 240 G8 i3 1005G1/4GB/256GB/Win10 (519A4PA),11890000,0,Intel Core i3 Ice Lake - 1005G1,4,1.2,3.4,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200,2,4,14,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",250 nits Chống chói Anti Glare,HD (1366 x 768),Stereo speakers,Card tích hợp - Intel UHD Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm,1.47,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop HP 14s fq1080AU R3 5300U/4GB/256GB/Win10 (4K0Z7PA),10890000,0,AMD Ryzen 3 - 5300U,4,2.6,3.8,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200,4,8,14,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",SVA,HD (1366 x 768),Loa kép (2 kênh),Card tích hợp - AMD Radeon Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm,1.47,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Acer Aspire 3 A314 35 P6JF N6000/4GB/512GB/Win10 (NX.A7SSV.003),9590000,0,Intel Pentium - N6000,4,1.1,3.33,DDR4 (2 khe),2400,4,4,14,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"TFT
LED Backlit
Acer ComfyView",HD (1366 x 768),Stereo speakers,Card tích hợp - Intel UHD Graphics,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,VGA Webcam,Windows 10 Home SL,Dài 328 mm - Rộng 236 mm - Dày 19.9 mm,1.45,"Li-ion, 36 Wh",,Điện máy xanh,0
Laptop Acer Aspire 3 A315 34 P8VA N5030/4GB/256GB//Win10 (NX.HE3SV.00N),8490000,0,Intel Pentium - N5030,4,1.1,3.1,DDR4 (On board 4GB +1 khe rời),2666,4,4,15.6,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,Acer ComfyView,Full HD (1920 x 1080),Stereo speakers,Card tích hợp - Intel UHD Graphics 605,"LAN (RJ45)
USB 3.1
HDMI
2 x USB 2.0
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,VGA Webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 247.5 mm - Dày 19.9 mm,1.7,"2-cell Li-ion, 37 Wh",,Điện máy xanh,0
Microsoft Surface Pro 2018 - Core i5-8250U/8G/128GB - Hàng Chính Hãng,22500000,0,Intel Core 8th Gen i5,8GB,,,,,,,12.3,128GB,"267 ppi Touch, IPS",QHD+ (2736 x 1824),Loa Stereo (Dolby Audio Premium),Intel UHD Graphics 620,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",802.11 a / b / g / n / ac,4.1,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Windows 10 Home,29.21 x 20.142 x 0.85 mm,0.775,Lithium-Polymer,MicroSDXC,Tiki,0
Laptop Dell Inspiron 14 5406 TYCJN1 (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB M.2 PCIe NVMe/ MX330 2GB GDDR5/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,26365200,0,Intel Core i7-1165G7 Processor,8GB DDR4 3200MHz (1 x 8GB),2.8,4.7,,,4,8,,512GB SSD M.2 PCIe NVMe,14.0 Inch FHD Touch IPS 60Hz Wide Viewing Angle,Full HD (1920 x 1080),,NVIDIA GeForce MX330 2GB GDDR5 + Intel Iris Xe Graphics,2 x USB 3.2 Gen 1 ports Type A; 1 x USB 3.2 Gen2 Type-C with DisplayPort; 1 x HDMI 1.4b port; 1 x SD-card slot; 1 x headset (headphone and microphone combo) port,Intel Wi-fi 6 2x2 (Gig+),v5.1,HD camera with dual-array microphones,,,,,,Tiki,0
Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,46939000,0,"Intel 11th Generation i7 (Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC",16GB LPDDR4X (Dual Channel),,,,,,,16,M.2(2280) Dual SSD slots - NVME: 256GB,"16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch)",,HD Audio with DTS X Ultra,"Intel Iris Xe Graphics (i7,i5) ","HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",BT 5.1,HD Webcam with Dual Mic.,Windows 10 Home (64bit),"
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
",1.19,80 Wh Li-Ion,UFS/ Micro SD,Tiki,0
"Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K1004YVN (Core i5-11300H/ 8 GB DDR4 3200 MHz/ RTX 3050 4GB GDDR6/ 15.6 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",22690000,0,Core i5 11300H 3.1Ghz Up to 4.4Ghz-8Mb,"8GB (8x1) DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",,,,,,,15.6,512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5 SATA3),"IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",,Nahimic Audio,"	NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1740MHz, TGP 90W","1x USB-C 3.2 Gen 1 (support data transfer only), 2x USB 3.2 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1x headphone / microphone combo jack (3.5mm), 1x power connector","	802.11AX (2x2)",v5.0,720p with Camera Shutter,,,2.25,3 Cell 45WHr,,Tiki,0
"Laptop Gigabyte AORUS 15P YD-73S1224GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ RTX 3080 8GB GDDR6/ 15.6 FHD IPS, 240Hz/ Win10) - Hàng Chính Hãng",73990000,0,Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,,,,,,,1TB SSD M.2 PCIE G3X4 (2 Slots)," IPS-Level Anti-Glare Display LCD (240Hz, 72% NTSC)",,"	DTS:X Ultra","NVIDIA GeForce RTX 3080 8GB GDDR6 Boost Clock 1545MHz, Maximum Graphics Power 130W","1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4, 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45","	Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)","	V5.2","	HD Camera","	Windows 10 Home",357 x 244 x27 (mm),2.2,"	4 Cell 99 WHrs",,Tiki,0
Laptop LG Gram 2021 14ZD90P-G.AX51A5 (Core i5-1135G7/ 8GB LPDDR4X/ 256GB SSD NVMe/ 14 WUXGA IPS/ NonOS) - Hàng Chính Hãng,33504000,0,"Intel 11th Generation i5 (Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W)",8GB LPDDR4X (Dual Channel),,,,,,,14,256GB SSD,IPS,Full HD (1920 x 1080),HD Audio with DTS X Ultra,Intel Iris Xe Graphics,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",v5.1,HD Webcam with Dual Mic,,313.4 x 215.2 x 16.8 mm,0.999,72 Wh Li-Ion,,Tiki,0
Laptop Asus ZenBook Flip 13 UX363EA-HP130T (Core i5-1135G7/ 8GB LPDDR4X Onboard/ 512GB SSD PCIE G3x4/ 13.3 FHD Touch IPS/ Win10) - Hàng Chính Hãng,26479000,0,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB LPDDR4X on board,2.4,4.2,LPDDR4X,,,,13.3,512GB SSD PCIE G3x4,"Touch, IPS, 60Hz, Wide 100% sRGB, Glossy display, 400 Nits",Full HD (1920 x 1080),Sonic Master,Intel Iris Xe Graphics,"2x Thunderbolt 4 supports display / power delivery, 1x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4",802.11 AX (2X2),v5.0,IR webcam with Windows Hello support,Windows 10 Home,30.5 x 21.1 x 1.19 ~ 1.39 (cm),1.3,4 Cell 67WHr,,Tiki,0
Microsoft Surface Laptop 2 - Core i5-8250U/RAM 8GB/ SSD 128GB - Hàng Chính Hãng,30200000,0,,,,,,,,,,128B,,,Stereo microphones Omnisonic Speakers with Dolby Audio Premium,,,,,,,,,,,Tiki,0
Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,27090000,0,M1,8GB,,,8GB of 3733MHz LPDDR4X onboard memory,3733,,,,256GB,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,,Stereo speakers,Apple M1 GPU 7 cores,,802.11ax Wi-Fi 6-Tương thích IEEE 802.11a / b / g / n / ac,Bluetooth 5.0 wireless technology,"	720p HD",Mac OS,,1.4,lithium‑polymer,,Tiki,0
"Laptop Dell Inspiron 15 3511 P112F001ABL ( Intel Core i3-1115G4 , Ram (1x4GB) DDR4 2666MHz, 256GB M.2 PCIe NVMe SSD, 15.6'' FHD, Intel UHD Graphics, BT 5.0, WLAN 802.11ac, Win10 Home SL, H&S 2019, 1Y, Premium Support ) - Hàng Chính Hãng",14490000,0,"Intel Core i3-1115G4 (6MB Cache, 3.0GHz, Turbo Boost 4.1GHz)",,,,4GB (1x4GB) DDR4 2666MHz,2666,,,,256GB M.2 PCIe NVMe SSD,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,,,Intel UHD Graphics,,WLAN 802.11ac,BT 5.0,,Win10 Home SL,Front height 18.99 mmWidth 358.5 mmDepth 235.56 mm,,3 Cell 41WHr,,Tiki,0
"Laptop Gigabyte AORUS 15P XD-73S1224GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ RTX 3070 8GB GDDR6/ 15.6 FHD IPS, 240Hz/ Win10) - Hàng Chính Hãng",53990000,0,Intel Core i7-11800H,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",2.3,4.6,DDR4,,,,15.6,1TB SSD M.2 PCIE G3X4 (2 Slots),"IPS-level Anti-glare Display LCD (240Hz, 72% NTSC)",Full HD (1920 x 1080),DTS:X Ultra,"NVIDIA GeForce RTX 3070 8GB GDDR6 Boost Clock 1560 MHz, Maximum Graphics Power 130 W","1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45","Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",V5.2,HD Camera,Windows 10 Home,357 x 244 x27 (mm),2.2,4 Cell 99 WHrs,UHS-II SD Card Reader (Optional),Tiki,0
Laptop HP ProBook 440 G8 2Z6J4PA (Core i7-1165G7/ 8GB(1 x 8GB) DDR4 3200Mhz/ 512GB PCIe NVMe SSD/ 14 HD/ DOS) - Hàng Chính Hãng,23859000,0,Intel Core i7-1165G7,8GB(1 x 8GB),,4.7,DDR4,,4,8,14,512GB PCIe NVMe,IPS LCD,HD (1366 x 768),,Intel Iris Xᵉ Graphics,"2 SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); HDMI 1.4b",Intel AX201 Wi-Fi 6 (2x2),Bluetooth 5 combo,720p HD camera,FreeDos,32.19 x 21.39 x 1.99 cm,1.38,"3-cell, 45 Wh",1 microSD,Tiki,0
Laptop DELL Inspiron 15 7501 X3MRY1 (Core i7-10750H/ 8GB/ 512GB SSD PCIe/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD/ Win10) - Hàng Chính Hãng,29990000,0,"	 Intel Core i7 10750H 2.6GHz, 12MB",8GB onboard DDR4/ 2933MHz (1 slot),,,,,,,15.6,512GB SSD PCIe (M.2 2230) – combo M.2 2230/2280," @60Hz Wide View Angle (WVA), Anti glare",Full HD (1920 x 1080),Realtek High Definition Audio (Speaker : 2 x 2W),"	 NVIDIA GEFORCE GTX 1650Ti 4GB GDDR6 ","2 x USB 3.1 Gen 1 Type A ; 1 x USB Type C (port with Thunderbolt/DisplayPort/Power Delivery) ; 1 x HDMI ; 1 x Headphone/Microphone combo jack ; 1 x SSD (M.2 2280), ","	 802.11 ax","	 Bluetooth 5.0","	 HD Web Camera ",Win 10 bản quyền,1.89 x 35.61 x 23.45 cm (H x W x D),1.851,3 Cell Int (56Wh),Micro SD reader (support mSD/mSDHC/mSDXC),Tiki,0
Laptop LG Gram 2021 16Z90P-G.AH75A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,48859000,0,"Intel 11th Generation i7(Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC",16GB LPDDR4X (Dual Channel),,,,,,,16,M.2(2280) Dual SSD slots - NVME:  512GB,"16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch), DCI-P3 99% (Typical, min 95%) ",,HD Audio with DTS X Ultra,"Intel Iris Xe Graphics (i7,i5) ","HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",BT 5.1,HD Webcam with Dual Mic.,,"
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
",1.19,80 Wh Li-Ion,UFS/ Micro SD,Tiki,0
Laptop MSI Prestige 14 Evo A11M-089VN (Core i7-1185G7/ 16GB LPDDR4X/ 512GB PCIe NVMe Gen4x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,27809000,0,Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,16GB LPDDR4X-4267,,,,,,,14,512GB PCIe NVMe Gen4x4,"IPS, Anti-Glare, 100% sRGB, 300nits",,Nahimic 3,Intel Iris Xe Graphics,"2 x Thunderbolt 4, 1x USB 2.0",Intel Wi-Fi 6 AX201(2x2 ax),v5.1,HD type (30fps@720p),Windows 10 Home,319 x 219 x 15.9 mm,1.29,3 Cell 52WHr,Micro SD,Tiki,0
